"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","553","Login with correct email and password","tests.authentication","Thu Feb 26 14:31:26 UTC 2026","passed","Thu Feb 26 14:31:26 UTC 2026","TestAuthentication","test_authentication","",""
"","538","Attempt to create user with email: mail.ru","tests.users","Thu Feb 26 14:31:34 UTC 2026","passed","Thu Feb 26 14:31:34 UTC 2026","TestUsers","test_users","",""
"","27","test_get_courses","tests.courses","Thu Feb 26 14:31:28 UTC 2026","passed","Thu Feb 26 14:31:28 UTC 2026","TestCourses","test_courses","",""
"","555","Attempt to create user with email: gmail.com","tests.users","Thu Feb 26 14:31:35 UTC 2026","passed","Thu Feb 26 14:31:35 UTC 2026","TestUsers","test_users","",""
"","22","test_update_exercise","tests.exercises","Thu Feb 26 14:31:29 UTC 2026","passed","Thu Feb 26 14:31:29 UTC 2026","TestExercises","test_exercises","",""
"","14","Get file","LMS service","Thu Feb 26 14:31:32 UTC 2026","passed","Thu Feb 26 14:31:32 UTC 2026","Get entity","Files","",""
"","35","test_update_course","tests.courses","Thu Feb 26 14:31:27 UTC 2026","passed","Thu Feb 26 14:31:27 UTC 2026","TestCourses","test_courses","",""
"","269","Get file with incorrect file id","LMS service","Thu Feb 26 14:31:34 UTC 2026","passed","Thu Feb 26 14:31:35 UTC 2026","Validate entity","Files","",""
"","45","test_get_exercise","tests.exercises","Thu Feb 26 14:31:30 UTC 2026","passed","Thu Feb 26 14:31:30 UTC 2026","TestExercises","test_exercises","",""
"","15","Get user me","tests.users","Thu Feb 26 14:31:36 UTC 2026","passed","Thu Feb 26 14:31:36 UTC 2026","TestUsers","test_users","",""
"","26","test_create_course","tests.courses","Thu Feb 26 14:31:28 UTC 2026","passed","Thu Feb 26 14:31:28 UTC 2026","TestCourses","test_courses","",""
"","24","test_get_exercises","tests.exercises","Thu Feb 26 14:31:31 UTC 2026","passed","Thu Feb 26 14:31:31 UTC 2026","TestExercises","test_exercises","",""
"","262","Create file with empty filename","LMS service","Thu Feb 26 14:31:33 UTC 2026","passed","Thu Feb 26 14:31:34 UTC 2026","Validate entity","Files","",""
"","18","Create file with empty directory","LMS service","Thu Feb 26 14:31:34 UTC 2026","passed","Thu Feb 26 14:31:34 UTC 2026","Validate entity","Files","",""
"","522","Attempt to create user with email: example.com","tests.users","Thu Feb 26 14:31:34 UTC 2026","passed","Thu Feb 26 14:31:35 UTC 2026","TestUsers","test_users","",""
"","20","test_delete_exercise","tests.exercises","Thu Feb 26 14:31:30 UTC 2026","passed","Thu Feb 26 14:31:30 UTC 2026","TestExercises","test_exercises","",""
"","23","Create file","LMS service","Thu Feb 26 14:31:31 UTC 2026","passed","Thu Feb 26 14:31:31 UTC 2026","Create entity","Files","",""
"","23","Delete file","LMS service","Thu Feb 26 14:31:32 UTC 2026","passed","Thu Feb 26 14:31:32 UTC 2026","Delete entity","Files","",""
"","26","test_create_exercise","tests.exercises","Thu Feb 26 14:31:29 UTC 2026","passed","Thu Feb 26 14:31:29 UTC 2026","TestExercises","test_exercises","",""
