"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Delete file","LMS service","Thu Feb 26 12:01:47 UTC 2026","passed","Thu Feb 26 12:01:47 UTC 2026","Delete entity","Files","",""
"","32","test_update_course","tests.courses","Thu Feb 26 12:01:41 UTC 2026","passed","Thu Feb 26 12:01:41 UTC 2026","TestCourses","test_courses","",""
"","22","test_update_exercise","tests.exercises","Thu Feb 26 12:01:44 UTC 2026","passed","Thu Feb 26 12:01:44 UTC 2026","TestExercises","test_exercises","",""
"","263","Create file with empty filename","LMS service","Thu Feb 26 12:01:48 UTC 2026","passed","Thu Feb 26 12:01:48 UTC 2026","Validate entity","Files","",""
"","23","test_get_courses","tests.courses","Thu Feb 26 12:01:42 UTC 2026","passed","Thu Feb 26 12:01:42 UTC 2026","TestCourses","test_courses","",""
"","17","Create file with empty directory","LMS service","Thu Feb 26 12:01:48 UTC 2026","passed","Thu Feb 26 12:01:48 UTC 2026","Validate entity","Files","",""
"","18","Create file","LMS service","Thu Feb 26 12:01:46 UTC 2026","passed","Thu Feb 26 12:01:46 UTC 2026","Create entity","Files","",""
"","533","Attempt to create user with email: mail.ru","tests.users","Thu Feb 26 12:01:48 UTC 2026","passed","Thu Feb 26 12:01:49 UTC 2026","TestUsers","test_users","",""
"","560","Attempt to create user with email: gmail.com","tests.users","Thu Feb 26 12:01:49 UTC 2026","passed","Thu Feb 26 12:01:50 UTC 2026","TestUsers","test_users","",""
"","16","Get file","LMS service","Thu Feb 26 12:01:47 UTC 2026","passed","Thu Feb 26 12:01:47 UTC 2026","Get entity","Files","",""
"","521","Attempt to create user with email: example.com","tests.users","Thu Feb 26 12:01:49 UTC 2026","passed","Thu Feb 26 12:01:49 UTC 2026","TestUsers","test_users","",""
"","291","test_create_exercise","tests.exercises","Thu Feb 26 12:01:43 UTC 2026","passed","Thu Feb 26 12:01:43 UTC 2026","TestExercises","test_exercises","",""
"","551","Login with correct email and password","tests.authentication","Thu Feb 26 12:01:40 UTC 2026","passed","Thu Feb 26 12:01:41 UTC 2026","TestAuthentication","test_authentication","",""
"","30","test_create_course","tests.courses","Thu Feb 26 12:01:42 UTC 2026","passed","Thu Feb 26 12:01:42 UTC 2026","TestCourses","test_courses","",""
"","288","test_get_exercise","tests.exercises","Thu Feb 26 12:01:44 UTC 2026","passed","Thu Feb 26 12:01:45 UTC 2026","TestExercises","test_exercises","",""
"","22","test_delete_exercise","tests.exercises","Thu Feb 26 12:01:45 UTC 2026","passed","Thu Feb 26 12:01:45 UTC 2026","TestExercises","test_exercises","",""
"","11","Get user me","tests.users","Thu Feb 26 12:01:50 UTC 2026","passed","Thu Feb 26 12:01:50 UTC 2026","TestUsers","test_users","",""
"","284","test_get_exercises","tests.exercises","Thu Feb 26 12:01:46 UTC 2026","passed","Thu Feb 26 12:01:46 UTC 2026","TestExercises","test_exercises","",""
"","257","Get file with incorrect file id","LMS service","Thu Feb 26 12:01:49 UTC 2026","passed","Thu Feb 26 12:01:49 UTC 2026","Validate entity","Files","",""
