"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","test_get_exercises","tests.exercises","Fri Feb 27 06:10:27 UTC 2026","passed","Fri Feb 27 06:10:27 UTC 2026","TestExercises","test_exercises","",""
"","20","Delete file","LMS service","Fri Feb 27 06:10:28 UTC 2026","passed","Fri Feb 27 06:10:28 UTC 2026","Delete entity","Files","",""
"","35","test_update_course","tests.courses","Fri Feb 27 06:10:22 UTC 2026","passed","Fri Feb 27 06:10:22 UTC 2026","TestCourses","test_courses","",""
"","554","Login with correct email and password","tests.authentication","Fri Feb 27 06:10:21 UTC 2026","passed","Fri Feb 27 06:10:22 UTC 2026","TestAuthentication","test_authentication","",""
"","20","Create file","LMS service","Fri Feb 27 06:10:27 UTC 2026","passed","Fri Feb 27 06:10:27 UTC 2026","Create entity","Files","",""
"","556","Attempt to create user with email: gmail.com","tests.users","Fri Feb 27 06:10:30 UTC 2026","passed","Fri Feb 27 06:10:31 UTC 2026","TestUsers","test_users","",""
"","20","test_update_exercise","tests.exercises","Fri Feb 27 06:10:24 UTC 2026","passed","Fri Feb 27 06:10:24 UTC 2026","TestExercises","test_exercises","",""
"","16","Get file","LMS service","Fri Feb 27 06:10:28 UTC 2026","passed","Fri Feb 27 06:10:28 UTC 2026","Get entity","Files","",""
"","524","Attempt to create user with email: example.com","tests.users","Fri Feb 27 06:10:30 UTC 2026","passed","Fri Feb 27 06:10:30 UTC 2026","TestUsers","test_users","",""
"","48","test_get_exercise","tests.exercises","Fri Feb 27 06:10:25 UTC 2026","passed","Fri Feb 27 06:10:26 UTC 2026","TestExercises","test_exercises","",""
"","19","test_delete_exercise","tests.exercises","Fri Feb 27 06:10:26 UTC 2026","passed","Fri Feb 27 06:10:26 UTC 2026","TestExercises","test_exercises","",""
"","264","Get file with incorrect file id","LMS service","Fri Feb 27 06:10:30 UTC 2026","passed","Fri Feb 27 06:10:30 UTC 2026","Validate entity","Files","",""
"","265","Create file with empty filename","LMS service","Fri Feb 27 06:10:29 UTC 2026","passed","Fri Feb 27 06:10:29 UTC 2026","Validate entity","Files","",""
"","28","test_get_courses","tests.courses","Fri Feb 27 06:10:23 UTC 2026","passed","Fri Feb 27 06:10:23 UTC 2026","TestCourses","test_courses","",""
"","33","test_create_course","tests.courses","Fri Feb 27 06:10:23 UTC 2026","passed","Fri Feb 27 06:10:23 UTC 2026","TestCourses","test_courses","",""
"","528","Attempt to create user with email: mail.ru","tests.users","Fri Feb 27 06:10:29 UTC 2026","passed","Fri Feb 27 06:10:30 UTC 2026","TestUsers","test_users","",""
"","17","Create file with empty directory","LMS service","Fri Feb 27 06:10:29 UTC 2026","passed","Fri Feb 27 06:10:29 UTC 2026","Validate entity","Files","",""
"","14","Get user me","tests.users","Fri Feb 27 06:10:31 UTC 2026","passed","Fri Feb 27 06:10:31 UTC 2026","TestUsers","test_users","",""
"","27","test_create_exercise","tests.exercises","Fri Feb 27 06:10:24 UTC 2026","passed","Fri Feb 27 06:10:24 UTC 2026","TestExercises","test_exercises","",""
